id,b,c,v,text,emotion
46,Romans,12,2,"Do not be conformed to this world, but be transformed by the renewal of your mind, that by testing you may discern what is the will of God, what is good and acceptable and perfect.",joy
47,1 Corinthians,13,4-5,Love is patient and kind; love does not envy or boast; it is not arrogant or rude. It does not insist on its own way; it is not irritable or resentful.,anger
48,1 Corinthians,13,13,"So now faith, hope, and love abide, these three; but the greatest of these is love.",joy
49,2 Corinthians,5,17,"Therefore, if anyone is in Christ, he is a new creation. The old has passed away; behold, the new has come.",sadness
50,Galatians,5,22-23,"But the fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, self-control; against such things there is no law.",love
51,Ephesians,3,20,"Now to him who is able to do far more abundantly than all that we ask or think, according to the power at work within us.",joy
52,Philippians,1,6,"And I am sure of this, that he who began a good work in you will bring it to completion at the day of Jesus Christ.",joy
53,Philippians,4,13,I can do all things through him who strengthens me.,joy
54,Colossians,3,12-14,"Put on then, as God's chosen ones, holy and beloved, compassionate hearts, kindness, humility, meekness, and patience, bearing with one another and, if one has a complaint against another, forgiving each other; as the Lord has forgiven you, so you also must forgive. And above all these put on love, which binds everything together in perfect harmony.",love
55,1 Thessalonians,5,16,Rejoice always.,joy
56,2 Timothy,1,7,For God gave us a spirit not of fear but of power and love and self-control.,joy
57,Hebrews,4,12,"For the word of God is living and active, sharper than any two-edged sword, piercing to the division of soul and of spirit, of joints and of marrow, and discerning the thoughts and intentions of the heart.",joy
58,James,1,2-3,"Count it all joy, my brothers, when you meet trials of various kinds, for you know that the testing of your faith produces steadfastness.",joy
59,1 Peter,2,9,"But you are a chosen race, a royal priesthood, a holy nation, a people for his own possession, that you may proclaim the excellencies of him who called you out of darkness into his marvelous light.",joy
60,1 John,4,19,We love because he first loved us.,love
61,Genesis,2,7,"Then the LORD God formed the man of dust from the ground and breathed into his nostrils the breath of life, and the man became a living creature.",joy
62,Genesis,3,15,"I will put enmity between you and the woman, and between your offspring and her offspring; he shall bruise your head, and you shall bruise his heel.",anger
63,Genesis,9,13,"I have set my bow in the cloud, and it shall be a sign of the covenant between me and the earth.",joy
64,Genesis,22,8,"Abraham said, 'God will provide for himself the lamb for a burnt offering, my son.' So they went both of them together.",anger
65,Exodus,3,14,"God said to Moses, 'I AM WHO I AM.' And he said, 'Say this to the people of Israel: 'I AM has sent me to you.'",joy
66,Exodus,15,2,"The LORD is my strength and my song, and he has become my salvation; this is my God, and I will praise him, my father's God, and I will exalt him.",joy
67,Leviticus,19,18,"You shall not take vengeance or bear a grudge against the sons of your own people, but you shall love your neighbor as yourself: I am the LORD.",anger
68,Numbers,6,24-26,The LORD bless you and keep you; the LORD make his face to shine upon you and be gracious to you; the LORD lift up his countenance upon you and give you peace.,joy
69,Deuteronomy,31,6,"Be strong and courageous. Do not fear or be in dread of them, for it is the LORD your God who goes with you. He will not leave you or forsake you.",joy
70,Joshua,24,15,"And if it is evil in your eyes to serve the LORD, choose this day whom you will serve, whether the gods your fathers served in the region beyond the River, or the gods of the Amorites in whose land you dwell. But as for me and my house, we will serve the LORD.",anger
71,Judges,21,25,In those days there was no king in Israel. Everyone did what was right in his own eyes.,joy
72,1 Samuel,2,2,There is none holy like the LORD; there is none besides you; there is no rock like our God.,joy
73,2 Samuel,22,31,This God—his way is perfect; the word of the LORD proves true; he is a shield for all those who take refuge in him.,joy
74,1 Kings,8,23,"O LORD, God of Israel, there is no God like you, in heaven above or on earth beneath, keeping covenant and showing steadfast love to your servants who walk before you with all their heart.",joy
75,1 Chronicles,16,34,"Oh give thanks to the LORD, for he is good; for his steadfast love endures forever!",joy
76,2 Chronicles,16,9,"For the eyes of the LORD run to and fro throughout the whole earth, to give strong support to those whose heart is blameless toward him.",sadness
77,Nehemiah,8,10,"Then he said to them, 'Go your way. Eat the fat and drink sweet wine and send portions to anyone who has nothing ready, for this day is holy to our Lord. And do not be grieved, for the joy of the LORD is your strength.'",joy
78,Esther,4,14,"For if you keep silent at this time, relief and deliverance will rise for the Jews from another place, but you and your father's house will perish. And who knows whether you have not come to the kingdom for such a time as this?",anger
79,Job,19,25,"For I know that my Redeemer lives, and at the last he will stand upon the earth.",joy
80,Psalm,1,1,"Blessed is the man who walks not in the counsel of the wicked, nor stands in the way of sinners, nor sits in the seat of scoffers.",joy
81,Psalm,19,1,"The heavens declare the glory of God, and the sky above proclaims his handiwork.",joy
82,Psalm,34,8,"Oh, taste and see that the LORD is good! Blessed is the man who takes refuge in him!",joy
83,Psalm,51,10,"Create in me a clean heart, O God, and renew a right spirit within me.",joy
84,Psalm,103,1-2,"Bless the LORD, O my soul, and all that is within me, bless his holy name! Bless the LORD, O my soul, and forget not all his benefits.",joy
85,Psalm,119,11,"I have stored up your word in my heart, that I might not sin against you.",anger
86,Proverbs,1,7,The fear of the LORD is the beginning of knowledge; fools despise wisdom and instruction.,anger
87,Proverbs,9,10,"The fear of the LORD is the beginning of wisdom, and the knowledge of the Holy One is insight.",joy
88,Proverbs,16,3,"Commit your work to the LORD, and your plans will be established.",joy
89,Proverbs,18,10,The name of the LORD is a strong tower; the righteous man runs into it and is safe.,joy
90,Ecclesiastes,3,1,"For everything there is a season, and a time for every matter under heaven.",joy
91,Isaiah,9,6,"For to us a child is born, to us a son is given; and the government shall be upon his shoulder, and his name shall be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace.",joy
92,Isaiah,55,8-9,"For my thoughts are not your thoughts, neither are your ways my ways, declares the LORD. For as the heavens are higher than the earth, so are my ways higher than your ways and my thoughts than your thoughts.",joy
93,Jeremiah,17,7-8,"Blessed is the man who trusts in the LORD, whose trust is the LORD. He is like a tree planted by water, that sends out its roots by the stream, and does not fear when heat comes, for its leaves remain green, and is not anxious in the year of drought, for it does not cease to bear fruit.",joy
94,Lamentations,3,22,The steadfast love of the LORD never ceases; his mercies never come to an end;,joy
95,Ezekiel,36,26,"And I will give you a new heart, and a new spirit I will put within you. And I will remove the heart of stone from your flesh and give you a heart of flesh.",anger
96,Daniel,12,3,"And those who are wise shall shine like the brightness of the sky above; and those who turn many to righteousness, like the stars forever and ever.",joy
97,Hosea,6,6,"For I desire steadfast love and not sacrifice, the knowledge of God rather than burnt offerings.",anger
98,Joel,2,13,"And rend your hearts and not your garments. Return to the LORD your God, for he is gracious and merciful, slow to anger, and abounding in steadfast love; and he relents over disaster.",joy
99,Amos,5,24,"But let justice roll down like waters, and righteousness like an ever-flowing stream.",joy
100,Habakkuk,3,19,"GOD, the Lord, is my strength; he makes my feet like the deer's; he makes me tread on my high places. To the choirmaster: with stringed instruments.",joy
